Topic,Value,Words
T1,0.33333,thing friend medal jungle wheel video arcade stuff track racer glitch building today virus man-village buddy inurity march credit princess 
T2,0.33333,dream world birthday child kingdom tower magic stone sword power witch crown blood flower story miracle tomorrow gleam light castle 
T3,0.33333,captain treasure diamond emperor pirate llama world order silver leader shadow flight singing house woman cyborg career chief shirt cliff 
T4,0.33333,money street sheriff woman mouth kitty uncle range horse carpet reward partner trail alley sultan outta church minute property permission 
T5,0.33333,thing heart family father chance river sister moment truth point daughter fault spirit death danger strength question choice sword place 
T6,0.33333,thing honey fellow goodness friend doctor house moment tummy narrator brain queen stuff mouse thought prize sense chapter bother bottle 
T7,0.33333,bunny savage world father conscience actor school plenty predator otter crime officer chain number couple whale traffic alert police system 
T8,0.33333,place night mother minute morning friend thing matter trouble house surprise hurry business earth tonight creature goodness charge today devil 
T9,0.33333,heart water brother island village mountain world ocean voice monster share story earth stuff mission board chicken journey darkness ground 
T10,0.33333,gaucho plane circus angel motion elephant climax planet samba potato peanut shelter knife picture lilongo stand saddle roller stitch feather 
T11,0.33333,future today machine family science school buddy garage chance cover story class question invention baseball robot project problem companion control 
T12,0.33333,dream bridge grandfather crystal adventure power round excitement motorcar paper schoolmaster source price court country mania language flight police decision 
T13,0.33333,music heart story hurry dress spring number stuff dream window sound slipper beauty romance picture country matter tonight sweet glass 
T14,0.33333,beast master castle monster father world watch party rabbit trouble afternoon child apple chance dinner pardon fault spell advice guest 
T15,0.33333,prince world princess magic water voice dragon future night palace forest today daughter sense problem light thing reason bayou restaurant 